,names,stars,rating&reviews,memory,display
0,"SAMSUNG Galaxy F13 (Waterfall Blue, 64 GB)",4.4,"1,20,759 Ratings & 7,003 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display
1,"SAMSUNG Galaxy F13 (Sunrise Copper, 64 GB)",4.4,"1,20,759 Ratings & 7,003 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display
2,itel it2163S,4.1,702 Ratings & 67 Reviews,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Quarter QVGA Display
3,"SAMSUNG Galaxy F13 (Nightsky Green, 128 GB)",4.4,"1,20,759 Ratings & 7,003 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display
4,"SAMSUNG Galaxy F13 (Waterfall Blue, 128 GB)",4.4,"1,20,759 Ratings & 7,003 Reviews",4 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display
5,"Infinix HOT 20 Play (Fantasy Purple, 64 GB)",4.4,"7,152 Ratings & 419 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display
6,GREENBERRI VIRAT,3.7,321 Ratings & 48 Reviews,64 MB RAM | 64 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Display
7,"Infinix HOT 20 Play (Racing Black, 64 GB)",4.4,"7,152 Ratings & 419 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display
8,"Infinix HOT 20 Play (Luna Blue, 64 GB)",4.4,"7,152 Ratings & 419 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display
9,"Infinix HOT 20 Play (Aurora Green, 64 GB)",4.4,"7,152 Ratings & 419 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 256 GB,17.32 cm (6.82 inch) HD+ Display
10,"REDMI 9i Sport (Carbon Black, 64 GB)",4.3,"2,33,345 Ratings & 13,720 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display
11,"POCO C31 (Shadow Gray, 64 GB)",4.3,"2,00,053 Ratings & 11,623 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display
12,"MOTOROLA G62 5G (Midnight Gray, 128 GB)",4.1,"3,862 Ratings & 395 Reviews",8 GB RAM | 128 GB ROM,16.64 cm (6.55 inch) Full HD+ Display
13,"REDMI 10 (Caribbean Green, 64 GB)",4.3,"1,85,348 Ratings & 12,005 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display
14,"REDMI 10 (Midnight Black, 64 GB)",4.3,"1,85,348 Ratings & 12,005 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,17.02 cm (6.7 inch) HD+ Display
15,"POCO M4 Pro (Cool Blue, 128 GB)",4.3,"1,48,122 Ratings & 13,348 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display
16,"APPLE iPhone 14 (Midnight, 128 GB)",4.7,"14,444 Ratings & 620 Reviews",128 GB ROM,15.49 cm (6.1 inch) Super Retina XDR Display
17,"POCO C31 (Royal Blue, 64 GB)",4.3,"2,00,053 Ratings & 11,623 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 512 GB,16.59 cm (6.53 inch) HD+ Display
18,"POCO M4 Pro (Cool Blue, 64 GB)",4.3,"1,48,122 Ratings & 13,348 Reviews",6 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.33 cm (6.43 inch) Full HD+ AMOLED Display
19,"MOTOROLA g52 (Charcoal Grey, 128 GB)",4.2,"26,570 Ratings & 3,176 Reviews",6 GB RAM | 128 GB ROM,16.76 cm (6.6 inch) Full HD+ Display
20,"Infinix Smart 6 HD (Aqua Sky, 32 GB)",4.4,"21,397 Ratings & 1,201 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.76 cm (6.6 inch) HD+ Display
21,"Infinix Smart 6 HD (Force Black, 32 GB)",4.4,"21,397 Ratings & 1,201 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.76 cm (6.6 inch) HD+ Display
22,"MOTOROLA e13 (Cosmic Black, 64 GB)",,,4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD+ Display
28,"Infinix Smart 6 HD (Origin Blue, 32 GB)",4.4,"21,397 Ratings & 1,201 Reviews",2 GB RAM | 32 GB ROM | Expandable Upto 512 GB,16.76 cm (6.6 inch) HD+ Display
29,"MOTOROLA g31 (Baby Blue, 64 GB)",4.2,"33,480 Ratings & 3,811 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.26 cm (6.4 Inch) Full HD+ Display
30,itel it2163S,4.1,702 Ratings & 67 Reviews,4 MB RAM | 4 MB ROM | Expandable Upto 32 GB,4.57 cm (1.8 inch) Quarter QVGA Display
31,"SAMSUNG Galaxy F04 (Opal Green, 64 GB)",4.5,"2,365 Ratings & 107 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD Display
32,"SAMSUNG Galaxy F23 5G (Aqua Blue, 128 GB)",4.3,"1,55,335 Ratings & 12,482 Reviews",6 GB RAM | 128 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display
33,"APPLE iPhone 11 (White, 128 GB)",4.6,"1,83,377 Ratings & 10,781 Reviews",128 GB ROM,15.49 cm (6.1 inch) Liquid Retina HD Display
34,itel IT5626,4,"1,310 Ratings & 138 Reviews",8 MB RAM | 8 MB ROM | Expandable Upto 32 GB,7.11 cm (2.8 inch) QVGA Display
35,"realme C35 (Glowing Black, 64 GB)",4.4,"1,67,453 Ratings & 9,737 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.76 cm (6.6 inch) Full HD+ Display
36,Nokia 105 SS,4.2,"29,220 Ratings & 2,097 Reviews",32 MB RAM | 32 MB ROM,4.5 cm (1.77 inch) QVGA Display
37,"SAMSUNG Galaxy F04 (Jade Purple, 64 GB)",4.5,"2,365 Ratings & 107 Reviews",4 GB RAM | 64 GB ROM | Expandable Upto 1 TB,16.51 cm (6.5 inch) HD Display
